"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Add\AddAdmin.js", "JavaScript", 170, 0, 1, 17, 188
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Add\Admin.css", "CSS", 0, 173, 2, 39, 214
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Add\AdminList.css", "CSS", 0, 25, 1, 7, 33
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Add\AdminList.js", "JavaScript", 113, 0, 1, 13, 127
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Add\PostCities.js", "JavaScript", 7, 0, 0, 2, 9
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Add\PostGeneralServices.js", "JavaScript", 188, 0, 4, 29, 221
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Add\PostRegion.js", "JavaScript", 155, 0, 3, 19, 177
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\AdminProfile\Profile.js", "JavaScript", 130, 0, 1, 12, 143
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Customers\Customer.css", "CSS", 0, 76, 1, 24, 101
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Customers\Customers.js", "JavaScript", 175, 0, 1, 20, 196
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\DarkMode\Brightness.css", "CSS", 0, 18, 0, 4, 22
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\DarkMode\Brightness.js", "JavaScript", 15, 0, 0, 5, 20
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Dashboard\Carousel .js", "JavaScript", 22, 0, 0, 6, 28
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Dashboard\Dashboard.css", "CSS", 0, 137, 2, 31, 170
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Dashboard\Dashboard.js", "JavaScript", 192, 0, 0, 29, 221
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Dashboard\RecentOrder.css", "CSS", 0, 64, 6, 11, 81
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Dashboard\RecentOrder.js", "JavaScript", 80, 0, 2, 7, 89
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Footer\Footer.css", "CSS", 0, 0, 0, 1, 1
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Footer\Footer.js", "JavaScript", 7, 0, 0, 2, 9
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Header\Header.css", "CSS", 0, 214, 9, 48, 271
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Header\Header.js", "JavaScript", 126, 0, 509, 60, 695
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Header\Search.js", "JavaScript", 18, 0, 0, 4, 22
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Header\index.js", "JavaScript", 17, 0, 0, 0, 17
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Login\ForgotPassword.js", "JavaScript", 27, 0, 0, 2, 29
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Login\Login.js", "JavaScript", 110, 0, 0, 14, 124
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Login\auth.js", "JavaScript", 25, 0, 0, 7, 32
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Login\login.css", "CSS", 0, 119, 1, 23, 143
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Logout\Logout.css", "CSS", 0, 0, 0, 1, 1
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Logout\Logout.js", "JavaScript", 22, 0, 5, 8, 35
