"filename", "language", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\App.css", "CSS", 4, 0, 0, 0, 4
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\App.js", "JavaScript", 0, 36, 14, 11, 61
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Add\AddAdmin.js", "JavaScript", 0, 170, 1, 17, 188
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Add\Admin.css", "CSS", 173, 0, 2, 39, 214
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Add\AdminList.css", "CSS", 25, 0, 1, 7, 33
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Add\AdminList.js", "JavaScript", 0, 113, 1, 13, 127
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Add\PostCities.js", "JavaScript", 0, 7, 0, 2, 9
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Add\PostGeneralServices.js", "JavaScript", 0, 188, 4, 29, 221
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Add\PostRegion.js", "JavaScript", 0, 155, 3, 19, 177
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\AdminProfile\Profile.js", "JavaScript", 0, 130, 1, 12, 143
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Customers\Customer.css", "CSS", 76, 0, 1, 24, 101
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Customers\Customers.js", "JavaScript", 0, 175, 1, 20, 196
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\DarkMode\Brightness.css", "CSS", 18, 0, 0, 4, 22
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\DarkMode\Brightness.js", "JavaScript", 0, 15, 0, 5, 20
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Dashboard\Carousel .js", "JavaScript", 0, 22, 0, 6, 28
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Dashboard\Dashboard.css", "CSS", 137, 0, 2, 31, 170
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Dashboard\Dashboard.js", "JavaScript", 0, 192, 0, 29, 221
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Dashboard\RecentOrder.css", "CSS", 64, 0, 6, 11, 81
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Dashboard\RecentOrder.js", "JavaScript", 0, 80, 2, 7, 89
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Footer\Footer.css", "CSS", 0, 0, 0, 1, 1
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Footer\Footer.js", "JavaScript", 0, 7, 0, 2, 9
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Header\Header.css", "CSS", 214, 0, 9, 48, 271
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Header\Header.js", "JavaScript", 0, 126, 509, 60, 695
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Header\Search.js", "JavaScript", 0, 18, 0, 4, 22
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Header\index.js", "JavaScript", 0, 17, 0, 0, 17
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Login\ForgotPassword.js", "JavaScript", 0, 27, 0, 2, 29
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Login\Login.js", "JavaScript", 0, 110, 0, 14, 124
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Login\auth.js", "JavaScript", 0, 25, 0, 7, 32
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Login\login.css", "CSS", 119, 0, 1, 23, 143
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Logout\Logout.css", "CSS", 0, 0, 0, 1, 1
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Logout\Logout.js", "JavaScript", 0, 22, 5, 8, 35
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Orders\Details.js", "JavaScript", 0, 7, 0, 2, 9
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Orders\Order.css", "CSS", 112, 0, 1, 23, 136
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Orders\Orders.js", "JavaScript", 0, 237, 0, 15, 252
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Orders\gijs.js", "JavaScript", 0, 0, 0, 1, 1
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Providers\Providers.css", "CSS", 102, 0, 6, 27, 135
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Providers\Providers.js", "JavaScript", 0, 177, 0, 20, 197
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Regions\GetRegions.js", "JavaScript", 0, 112, 0, 11, 123
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Regions\Regions.css", "CSS", 74, 0, 2, 9, 85
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Regions\Regions.js", "JavaScript", 0, 118, 0, 9, 127
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Requests\Request.css", "CSS", 105, 0, 0, 25, 130
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Requests\Requests.js", "JavaScript", 0, 227, 0, 18, 245
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Services\AddNewServices.css", "CSS", 3, 0, 0, 0, 3
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Services\AddNewServices.js", "JavaScript", 0, 182, 427, 60, 669
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Services\Services.js", "JavaScript", 0, 106, 97, 28, 231
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Services\Servics.css", "CSS", 59, 0, 0, 16, 75
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\Test.js", "JavaScript", 0, 7, 0, 2, 9
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\index.js", "JavaScript", 0, 2, 0, 3, 5
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\main.js", "JavaScript", 0, 19, 0, 2, 21
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Components\server.js", "JavaScript", 0, 0, 10, 4, 14
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Conetext\Auth.js", "JavaScript", 0, 14, 0, 5, 19
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\Map.js", "JavaScript", 0, 15, 2, 5, 22
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\index.css", "CSS", 0, 0, 0, 1, 1
"c:\Users\ASUS\Desktop\Final Semester\Gratuation Project\Admin\admin-page\src\index.js", "JavaScript", 0, 11, 0, 1, 12
"Total", "-", 1285, 2869, 1108, 743, 6005
